Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461665937.89386,4128820723.04713,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19702986340.5494,19469022207.6357
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1924242453.00793,1965384586.2409,2173750012.5,2156624900,2126000000,2335124987.5,2101624962.5,1139166645.83333,709452583.880319,1228071037.84446,1985673798.10258,2424499009.14264,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.97733,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11390365293.8057,11926892452.8499
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,2723648551.75208,2434776645.73628,2001468867.73344,2703014867.32834,2909351792.58659,3136258896.9233,3039834558.74906,3370843065.76735,3852115816.97758,4257218772.15369,4863487492.65763,5077222366.97472,6761786386.54713,8715105930.49101,13209713643.3219,15557934268.4965,17728347374.994,20971901273.271,26364491313.4471,33243422157.6311,42345277342.0195,44348672667.8715,45207088715.6483,48801369800.3675,53698278905.9678,57937868670.1937,63696301892.8116,66742267773.1959,59089067187.3943,55631489801.5508,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.966,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.6476,54790245600.5846,54744714396.1666,56760288973.6703,67863829880.4832,85324998813.604,103198228458.588,117027304746.54,134977087734.008,171000691877.714,137211039898.193,161207268655.392,200013051408.116,209047389309.482,209783503258.224,213983107815.932,164779467703.299,156079606663.188
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,639000000,638000000,641000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,78619206.0850963,89409820.3592814,113408231.944085,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.946636,330070689.298282,346737964.774951,482000594.03588,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.56587,1484017897.09172,1717485413.13759,2373927765.23702,2916786689.84356,3248215396.09501,3536632793.87781,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,12118610904.2251,5684291718.77106,5278182970.79618,4059352153.05368,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.708,89633156470.3104
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77496740.7407407,87879333.3333333,109079962.962963,131431037.037037,147841740.740741,164369296.296296,182144111.111111,208372851.851852,240923925.925926,290440148.148148,337174851.851852,398637740.740741,438794777.777778,459469074.074074,481706333.333333,499281148.148148,535172777.777778,589429592.592593,577280740.740741,633730629.62963,680617111.111111,727860592.592593,766198925.925926,825405518.518518,795976518.518518,809754481.481482,850218592.592592,913710370.37037,1014979666.66667,1149025481.48148,1302388925.92593,1359733555.55556,1217719666.66667,1147942222.22222,1141865444.44444,1216045777.77778,1195885111.11111,1274330333.33333,1355645888.88889,1449160185.18519
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,..,..,..,..,..,..,..,..,25760683041.0826,28434203615.4795,31385499664.0635,36426909888.3884,43316056615.451,55018394945.576,105145803084.364,116337021938.327,144846175400.471,167308327683.573,183555544342.167,248646206366.973,338177454717.499,348592795413.075,324328753765.261,303962539723.043,307940771858.505,303893618415.506,289029150639.408,312681678329.895,307503035642.479,322325140494.687,446877161735.167,439779177858.364,471163515480.256,476513630630.268,487526906280.526,523759898288.293,578231297763.478,613279452474.103,591525594021.399,643889670873.196,735025140336.255,723282816382.445,729051715403.984,823110541431.167,963862340520.581,1184661549595.13,1404113530800.68,1637573196970.62,2077706582271.06,1795472295052.32,2109224213446,2501942770389.97,2740536188974.18,2838294388723.79,2904404570076.29,2561129553776.39,2500931669252.23
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,..,..,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.197,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,584711485367.267,545866164478.053
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2256838858.42714,2068526521.90299,1272577521.7683,1201313196.45626,1315158670.47971,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,10547331235.1895
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1330167597.76536,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,18593347519.3191,19666256019.7111,19911524246.8362,21527606674.8796,23787658192.4068,25962593795.4978,27288610146.713,30421099787.2102,32687870982.1929,36659200358.3828,41304737372.6061,45183111210.6619,52003504672.8972,63782190903.2671,88906411201.1791,97226546497.3372,104974158578.092,110266116081.67,118400631626.438,134793820288.538,149887465181.059,176804829908.278,193954540439.148,177176415535.798,193503894222.061,180470967247.066,182281757134.863,189375992588.671,236135768335.274,299941372852.374,311425933051.174,326068597441.331,325692532492.502,312372821810.006,323216879972.328,368391743391.743,401819423368.74,436097980904.68,399778878111.646,389146509587.668,415446209885.072,378899860470.108,394635830891.586,466853232382.062,613329776639.636,693764095624.718,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35,1204616439828.41
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,6592693841.18495,7311749633.36229,7756110210.11966,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15335972267.7957,17815464919.0439,22006470861.3608,29444365310.2818,35104529078.3274,39962704274.3146,42856485617.8569,51421585629.8393,61902774945.5131,73759181883.685,81861232822.8037,70863106877.484,71103585383.5605,71947277233.032,67821568599.1335,69219621907.4222,98797587381.7035,123869321397.475,133018182770.534,132785154342.174,166062376739.683,173375508073.07,194608183696.469,189921096652.076,203044926876.28,240457622492.152,236720496490.772,212323463750.141,217683626056.025,216725261027.062,196421706283.398,196953628635.347,212970685111.989,260721478555.305,299857238639.185,314648986444.472,334309371471.584,386458951546.674,427611527757.434,397594276187.83,390211866490.257,429037361514.409,407451583084.239,428248420485.175,438376178526.317,376967406147.987,386427793787.215
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8858006035.91566,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707720390.8515,6235795103.88809,7276013031.96905,8680472168.51531,13245716099.0057,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69684317718.9409,74164435946.4627,75244166772.9185,53074370486.0433,37847715736.0406
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,169803921.568627,190098039.215686,212254901.960784,237745098.039216,266666666.666667,300392156.862745,340000000,390196078.431373,444901960.784314,528137254.901961,538423153.692615,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8247000000,7820000000,7910000000,7890000000,8399000000,8522000000,8618000000,8854000000,9047000000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3072698328.46909,3467819148.93617,3645744680.85106,3735106382.97872,3905585106.38298,3651861702.12766,3052393617.02128,3392021010.6383,3702393617.02128,3863563829.78723,4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,29157446808.5106,30749308510.6383,32898670212.766,33387712765.9574,31125851063.8298,31858510638.2979
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,4274893913.46432,4817580183.56657,5081413339.74945,5319458351.12372,5386054619.31076,5906636556.95802,6439687598.27648,7253575399.26882,7483685473.4584,8471006100.89247,8992721809.32801,8751842839.73302,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000,22278423076.9231,21774033333.3333,24298032258.0645,26579005760.315,28781714763.7823,31598341233.5793,30957483290.541,31708873954.9405,33166520084.8295,33768662171.2233,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078561219.325,221415280325.518
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1012264035.93834,1114104641.92324,1164059789.75045,1235775210.81961,1347033586.80082,1409740726.1551,1547790025.47984,1704440882.93392,1812891396.47311,2006394477.47387,2012302519.52124,2020744653.61842,1957168343.54374,2063267995.73752,2151285060.49141,2261996995.18515,2411846465.43502,2549260575.07039,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3169612598.33334,3274856571.16604,3514370691.25563,3897467233.85757,4303275572.40197,4546115388.40716,4595264650,4601250000,4446800000,4358900000,4332150000,4371200000,4352700000,4421800000,4587550000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21650000000,17420000000,17120370370.3704,16286280991.7355,14932192010.7419,13972630803.5817,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856827.9847,12354820143.8849,14594925392.9691,17825436034.5366,23141587717.7633,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.0389,57231904542.8755,61762341356.8996,65685903833.0838,75527537703.1836,78813049849.6078,56454775870.958,47433442293.1858
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26849173618.3945,29981318394.8688,37408626615.3423,47999408507.5554,56333063690.9693,66029811341.45,71494607105.5381,83283407090.6021,101788571282.183,116938177352.779,127508322941.095,105290713602.781,92588982518.0999,87650998816.568,83795759983.2449,86730120728.3103,120661334386.852,150194219665.046,163168007789.358,165100250614.251,206431036697.248,211638016538.689,236038607528.231,225924893540.112,246195171328.671,289567597153.804,281357654723.127,254813937753.721,260602356079.129,260202429149.798,237904919845.218,237841610738.255,258860342555.995,319003386004.515,370885274397.815,387365999253.824,409813072387.404,471821790309.335,518626043650.212,484552653514.865,483548693409.337,527008036846.811,497884088082.651,520117140495.059,531750903174.686,454991318727.907,466365727353.85
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,28071888.5622288,29964370.7125857,31856922.8615428,33749405.0118998,36193826.1234775,40069930.0699301,44405594.4055944,47379310.3448276,44910179.6407186,47305389.2215569,53233532.9341317,59207317.0731707,66062500,78343558.2822086,103216374.269006,118066298.342541,96905829.5964126,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1486712300,1573618750,1613705850,1706497950,1742545900,1765256400
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,226195579.35701,235668222.429984,236434906.75427,253927646.475909,269818988.259263,289908720.648622,302925280.773564,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.965107,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.23882,1291119965.11262,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08055,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9156748441.42175,9707432015.61441,8290986804.45245,8583031398.21675
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,84466654.0801544,89249986.7007156,94149985.9705588,96366652.3069165,107566650.637987,114339048.962736,134173373.782802,155102984.621576,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135653295.165394,146391639.722864,148934334.038055,165585940.594059,169264991.197183,172217502.021019,201375725.614592,253182453.703704,283855833.333333,275949889.09427,299787275.842376,250045839.929639,250794359.567901,235239570.350935,270801565.189672,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.181606,537050133.717342,622026107.771576,702682018.976169,818869145.124717,897731524.929922,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819914.95916,2057947621.19283,2236933237.89015
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,563110051.920733,612518906.826491,669722541.277818,721142957.311474,812543072.505384,908874537.037037,994044553.872054,1084059814.81481,908874537.037037,964615698.653199,1017171717.17172,1095454545.45455,1257615644.97932,1263018490.75462,2100249875.06247,2404697651.17441,2732083958.02099,3227436281.85907,3758220889.55522,4421343606.18135,4537487842.57749,5891606676.18271,5594118400.16731,5422656261.71049,6169481549.37482,5377277406.71638,3959379487.6064,4347956298.51327,4597615562.66594,4715978868.21613,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.10651,11451869164.7112,13120159975.5451,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33806395513.7482
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1255802469.1358,1866572953.73666,2786045321.63743,3671816504.23851,4116699437.4041,4685729738.56209,5505984455.95855,5748990666.17862,6651226179.01829,8370020196.19158,10022840634.9206,11225138297.1959,12866524918.2221,15776422673.198,19101454463.7507,17600630726.6141,17164279813.0968,18629346790.8167,17207367625.8048,18154290272.2151,18521475376.4754,16173806634.5336,16559695718.568
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,30412308.9864012,32902336.644746,35643207.6265246,38091150.566196,41613969.0506064,45790869.7473126,51464435.1464435,58646443.5146444,66248256.6248257,77356914.0788191,96245114.4611949,126957494.407159,165258093.875959,244129088.027662,306033848.417954,355172413.793103,372010119.595216,451603325.415677,590376720.598889,819877300.613497,1060923829.13021,1073861599.13948,1014907254.54016,1172258182.14969,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.11244,3083800684.89751,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070441.9283,10267133177.7334,12786654365.8738,15682926890.0326,14686278713.5189,14915780533.086,16259445049.7698,14430608463.4399,15274861068.209
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.829,105136007528.76,123709376567.89,152678020452.829,176171284311.761,200800891870.164,224969488835.181,235024598983.261,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.299,268137224729.722,294084112392.66,330397381998.489,425595310000,461951782000,602860000000,400599250000,437798577639.752,558111997497.263,785643456467.255,850425828275.793,883199443413.729,863723395088.324,599388879704.634,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.924,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170,1803652649613.75,1796186586414.45
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,..,..,..,..,..,114040245.655299,132758395.400497,139030445.576898,160819286.554292,161211289.690318,179080099.307461,197523179.241883,270818555.823521,433092003.579273,1073577085.64159,1168304305.65513,1423061356.64562,1732721160.94122,1941600703.60598,2803780005.51826,4928824957.9675,4366213849.57637,4264252336.4486,3844723142.45149,3782523088.4628,3523612563.06532,2358592817.12134,2754463437.79677,2690717551.18267,2985467979.28524,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17123125493.2912,12930394937.8137,11400266877.3769
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19839230769.2308,19870000000,19342000000,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,13063422619.0476,10109404159.6402,11195630536.8928,14630974778.4594,13495062850.302,13148099185.2305,14135393875.5893,16360346653.8276,21074775206.3254,26094622563.6468,29821662537.3229,34304448149.8108,44765733379.986,54666642734.2757,51783454183.5501,50610031135.7791,57418391041.5926,53903028252.2996,55758744571.1183,56732006512.0065,50199117547.0415,52395164027.1493
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,330442817.168859,350247237.11684,379567178.256898,394040749.12567,410321785.631059,422916848.424208,433889831.584706,450753993.176448,460442864.205949,478298781.545658,458404330.125096,482411278.982439,578595583.975723,674773821.151416,751133642.647461,939972703.463021,976547572.215824,1131225278.77773,1475584037.28156,1748480982.18517,1928720390.28869,1775842679.94056,1754450379.2077,1600278756.43589,1459880352.6483,1552493413.98989,2036303381.20142,2369835438.62393,2616040645.87263,2615588545.68629,3101301780.95067,3135045684.1006,2240264711.54816,2332018010.55341,1895290964.80829,2379518099.2266,2586550747.09844,2447669403.89018,2804902723.73145,2993753187.09677,2628920056.10098,2812845513.57125,3205592289.79773,4205691222.11396,4838551099.70985,5462709498.45119,5844669845.53733,6771277870.96412,8369637065.40255,8369175126.25316,8979966766.07232,10724061338.5874,11166061507.8024,11934606509.5944,12400688571.1396,11148759324.507,12115155931.5461
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994962.962963,165444571.428571,178297142.857143,183200000,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.623188,547535555.555556,610225555.555556,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117257279.46188,1273180597.02711,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99794,2714505634.52629,3093647226.8107,3097324739.8493,3007029030.39976
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142246875.536716,139468114.599741,140630758.594899,138476239.366792,132019065.033419,137728155.212661,190651207.999511,235253171.841062,264308140.285149,267448513.108168,306891107.262039,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513934037.24782,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850951315.45564,1858121723.24993,1574288667.69981,1617467435.77007
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,637142865.714286,642857134.285714,660000008.571429,728571437.142857,782857128.571429,868571428.571429,914285714.285714,962857134.285714,1065714248.57143,978873232.394366,718401157.724163,969911421.394181,505549441.375077,702899155.982033,588443893.689773,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2533727592.02872,2791435272.25765,3441205692.90388,3506695719.5716,3443413388.70675,3120425502.56968,3517242477.23368,3654031716.27649,3984000517.01899,4284028482.54971,4658246918.26014,5337833248.02828,6293046161.82646,7274595706.66355,8639235842.17756,10351914093.1626,10401851850.6062,11242275198.9706,12829541141.0175,14038383450.1945,15449630418.5461,16777820332.6952,18049954289.4301,20016747754.0153
